budget_education,nombre_enseignants,niveau_etablissement,type_etablissement,taux_reussite
645,164,secondaire,public,314.49713665851243
814,118,primaire,public,348.95924319735565
149,34,primaire,public,71.79714165278335
487,62,secondaire,privé,224.04151060924642
518,147,primaire,public,254.93614492145295
357,11,secondaire,privé,136.14860462866966
870,69,universitaire,public,384.9774151004184
546,103,primaire,public,260.32829571503623
427,99,secondaire,privé,201.8511920574664
332,28,secondaire,privé,128.84238812700022
115,127,primaire,public,76.48744546989994
598,198,primaire,privé,291.9373531197086
817,160,universitaire,public,407.0609300916975
446,116,primaire,public,217.84683718111677
483,199,secondaire,public,266.1692810715252
249,107,universitaire,public,134.2380785402212
420,41,secondaire,privé,187.78790889484213
202,160,universitaire,public,127.56658349353032
217,22,universitaire,public,92.80372069811378
164,143,universitaire,privé,101.77179540800637
118,180,primaire,public,102.33984499396833
203,77,universitaire,public,84.69933567030841
864,49,primaire,privé,345.91381977457263
493,153,universitaire,public,247.23751239354937
695,44,secondaire,privé,302.39161065082817
975,196,universitaire,public,450.48926420979797
419,171,primaire,public,230.55120053258818
320,58,universitaire,public,144.82154550272622
898,32,secondaire,public,367.2334781848362
523,46,primaire,privé,209.18094081510867
757,178,secondaire,privé,347.3047015681534
783,35,universitaire,public,319.756329136487
976,170,secondaire,privé,448.426792651558
610,101,secondaire,privé,264.39729992068214
810,98,universitaire,privé,345.34363525832305
286,16,secondaire,privé,131.59933074873433
778,89,primaire,privé,323.8821076497984
890,69,primaire,public,370.14129392853647
547,183,universitaire,privé,268.52002436374346
340,68,primaire,privé,142.0656326429471
239,182,primaire,public,143.9023295062293
399,193,primaire,privé,229.2783171724921
558,42,secondaire,privé,229.22670123488479
847,186,universitaire,public,405.3076556442089
350,158,secondaire,privé,198.95874195651876
122,39,secondaire,privé,57.07984837211134
603,87,secondaire,privé,277.0439022181361
609,71,primaire,public,276.55005159496795
415,73,secondaire,privé,180.20128316581844
698,64,primaire,public,297.8676497171731
329,138,primaire,privé,178.36203487455518
473,139,universitaire,public,245.00456780019232
701,176,universitaire,privé,345.5084092086863
241,94,primaire,privé,119.2232672349485
344,129,secondaire,privé,180.9703846358303
458,100,secondaire,public,215.31003408376677
413,68,secondaire,privé,184.36725751957493
631,46,primaire,public,274.04411135967285
151,64,primaire,public,79.42364761078116
105,32,universitaire,public,43.90970817349217
545,52,universitaire,privé,234.45424749422892
346,104,secondaire,privé,165.67581555142152
200,136,universitaire,public,112.20240217474577
568,87,primaire,public,247.7551967009477
125,187,primaire,privé,101.3456803968071
774,177,universitaire,public,380.05961688363305
219,126,secondaire,public,111.64533223081072
400,106,secondaire,privé,182.02812764516412
363,22,universitaire,public,157.66851431391805
804,66,primaire,public,347.26398875130775
211,126,secondaire,privé,120.12855198787958
335,129,primaire,public,168.8322982176899
116,22,universitaire,public,63.17982577527959
299,186,primaire,privé,176.3364231237732
658,36,universitaire,public,274.7205146425765
864,12,universitaire,privé,359.06637872616596
901,187,primaire,public,425.12650281880775
956,17,primaire,public,383.7780799612468
430,186,universitaire,privé,234.3399804404265
812,187,primaire,public,385.12827798911815
805,56,secondaire,public,338.20626596321677
464,104,universitaire,privé,213.53588415313916
743,122,secondaire,public,337.6514258130985
904,128,primaire,privé,390.4294165284337
790,18,primaire,public,313.7434484179794
366,178,universitaire,privé,207.91343104096438
439,55,primaire,public,189.87714076102975
647,179,primaire,public,330.6780926450298
734,181,secondaire,public,339.06300440800993
240,93,universitaire,public,131.95861610143626
806,105,primaire,public,343.25098755499636
342,188,universitaire,privé,195.55495817121542
611,196,universitaire,public,304.0645656273598
346,171,universitaire,privé,205.6283817170372
135,106,universitaire,public,93.12777611779264
168,13,primaire,privé,82.30340622457598
384,149,primaire,public,194.61768209143852
690,180,primaire,privé,324.20604298909865
787,176,primaire,privé,378.88445922233745
218,65,secondaire,public,113.16550538769155
340,16,universitaire,privé,151.34916257268705
261,168,universitaire,public,156.90675715346043
674,82,secondaire,privé,300.8960001679942
473,170,secondaire,privé,238.70013434134896
425,186,universitaire,public,238.40046625703428
349,198,universitaire,privé,201.1773164610702
257,109,universitaire,public,123.6834987359809
867,36,universitaire,public,355.8175087164429
230,34,secondaire,public,94.37309905285993
477,88,primaire,public,220.6341411019951
122,56,secondaire,privé,72.94705551718314
648,188,secondaire,privé,309.2311445672061
378,191,primaire,privé,200.87874090070136
205,167,primaire,privé,139.29469536849928
421,21,universitaire,privé,167.25939633426353
896,22,universitaire,public,367.15039486049443
320,142,secondaire,privé,178.93564646228776
892,120,universitaire,public,392.64804746702725
359,188,universitaire,privé,201.31411709906055
829,181,universitaire,privé,371.08641008624335
181,83,primaire,public,96.96413284884109
931,150,primaire,public,392.735268882738
658,152,primaire,public,319.66398315183415
185,44,primaire,public,75.11924610683434
917,103,secondaire,public,413.5607468677382
830,178,secondaire,public,392.97785608405684
940,177,universitaire,public,408.9725088423771
999,162,primaire,privé,446.5313336209576
